name,locale,lockedTitle,lockedDescription,unlockedTitle,unlockedDescription,flavorText,lockedIcon,unlockedIcon
chal_advanced_technology,de,Fortgeschrittene Technologie,"Erreiche 10 Fernkampfschaden und besitze gleichzeitig 3 Konstruktionen",Fortgeschrittene Technologie,"Erreiche 10 Fernkampfschaden und besitze gleichzeitig 3 Konstruktionen",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,default,Advanced Technology,"Reach 10 Ranged Damage and get 3 structures at the same time",Advanced Technology,"Reach 10 Ranged Damage and get 3 structures at the same time",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,es-ES,Tecnología avanzada,"Alcanza 10 de Daño a distancia y obtén 3 estructuras al mismo tiempo",Tecnología avanzada,"Alcanza 10 de Daño a distancia y obtén 3 estructuras al mismo tiempo",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,fr,Technologie Avancée,"Atteignez 10 Dégâts à Distance et ayez 3 structures en même temps",Technologie Avancée,"Atteignez 10 Dégâts à Distance et ayez 3 structures en même temps",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,it,Alta tecnologia,"Arriva a 10 Danni da distanza mentre hai 3 strutture.",Alta tecnologia,"Arriva a 10 Danni da distanza mentre hai 3 strutture.",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,ja,超ハイテク,"遠距離ダメージ 10 に達すると同時に、建造物を3体獲得",超ハイテク,"遠距離ダメージ 10 に達すると同時に、建造物を3体獲得",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,ko,첨단 기술,"10 원거리 대미지에 도달하고 3개 건축물을 동시에 획득하세요",첨단 기술,"10 원거리 대미지에 도달하고 3개 건축물을 동시에 획득하세요",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,pl,Zaawansowana technologia,"Osiągnij Obrażenia dystansowe 10 i zdobądź struktury (3) w tym samym czasie",Zaawansowana technologia,"Osiągnij Obrażenia dystansowe 10 i zdobądź struktury (3) w tym samym czasie",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,pt-BR,Tecnologia avançada,"Consiga 10 de Dano de longo alcance e tenha 3 estruturas ao mesmo tempo.",Tecnologia avançada,"Consiga 10 de Dano de longo alcance e tenha 3 estruturas ao mesmo tempo.",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,ru,Передовые технологии,"Повысьте параметр «Урон в дальнем бою» до 10 и установите не менее 3 построек в одном забеге.",Передовые технологии,"Повысьте параметр «Урон в дальнем бою» до 10 и установите не менее 3 построек в одном забеге.",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,tr,Gelişmiş Teknoloji,"10Menzilli Saldırı Hasarı seviyesine ulaş ve aynı anda 3 yapı elde et",Gelişmiş Teknoloji,"10Menzilli Saldırı Hasarı seviyesine ulaş ve aynı anda 3 yapı elde et",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,zh-Hans,高级科技,"达到10远程伤害的同时获得3个构筑物",高级科技,"达到10远程伤害的同时获得3个构筑物",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_advanced_technology,zh-Hant,進階科技,"達到10範圍傷害並同時取得3個結構物",進階科技,"達到10範圍傷害並同時取得3個結構物",,achievement_locked_chal_advanced_technology.jpg,achievement_unlocked_chal_advanced_technology.jpg
chal_agriculture,de,Landwirtschaft,"Erreiche 200 Ernte",Landwirtschaft,"Erreiche 200 Ernte",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,default,Agriculture,"Reach 200 Harvesting",Agriculture,"Reach 200 Harvesting",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,es-ES,Agricultura,"Alcanza el 200 de Recolección",Agricultura,"Alcanza el 200 de Recolección",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,fr,Agriculture,"Atteignez 200 Récolte",Agriculture,"Atteignez 200 Récolte",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,it,Agricoltura,"Arriva a 200 Raccolta.",Agricoltura,"Arriva a 200 Raccolta.",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,ja,農業,"200収穫 に達する",農業,"200収穫 に達する",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,ko,농업,"200 수확에 도달합니다",농업,"200 수확에 도달합니다",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,pl,Rolnik,"Osiągnij: 200 Zbieranie",Rolnik,"Osiągnij: 200 Zbieranie",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,pt-BR,Agricultura,"Alcance 200 de Coleta.",Agricultura,"Alcance 200 de Coleta.",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,ru,Земледелие,"Повысьте параметр «Сбор» до 200.",Земледелие,"Повысьте параметр «Сбор» до 200.",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,tr,Tarım,"Toplama özelliğini 200 seviyesine getir",Tarım,"Toplama özelliğini 200 seviyesine getir",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,zh-Hans,农业,"达到200收获",农业,"达到200收获",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_agriculture,zh-Hant,農業,"抵達200收穫結算",農業,"抵達200收穫結算",,achievement_locked_chal_agriculture.jpg,achievement_unlocked_chal_agriculture.jpg
chal_apprentice,de,Lehrling,"Gewinne eine Runde mit Lehrling",Lehrling,"Gewinne eine Runde mit Lehrling",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,default,Apprentice,"Win a run with Apprentice",Apprentice,"Win a run with Apprentice",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,es-ES,Aprendiz,"Gana una partida con Aprendiz",Aprendiz,"Gana una partida con Aprendiz",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,fr,Apprenti,"Gagnez une partie avec Apprenti",Apprenti,"Gagnez une partie avec Apprenti",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,it,Apprendista,"Vinci una partita col personaggio Apprendista.",Apprendista,"Vinci una partita col personaggio Apprendista.",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,ja,見習い,"見習い で1回クリアする",見習い,"見習い で1回クリアする",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,ko,연습생,"연습생와 함께 달리기에서 승리합니다",연습생,"연습생와 함께 달리기에서 승리합니다",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
chal_apprentice,pl,Praktykant,"Wygraj rozgrywkę z: Praktykant",Praktykant,"Wygraj rozgrywkę z: Praktykant",,achievement_locked_chal_apprentice.jpg,achievement_unlocked_chal_apprentice.jpg
